Replace Part * STM32_R in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with STM32_R from stm32.SchLib
Replace Part E? E18-D80NK in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with E18-D80NK from stm32.SchLib
Replace Part E? E18-D80NK in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with E18-D80NK from stm32.SchLib
Replace Part E? E18-D80NK in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with E18-D80NK from stm32.SchLib
Replace Part E? E18-D80NK in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with E18-D80NK from stm32.SchLib
Replace Part H? STM32_L in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with STM32_L from stm32.SchLib
Replace Part S? STEP in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with STEP from stm32.SchLib
Replace Part S? STEP in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with STEP from stm32.SchLib
Replace Part S? STEP in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with STEP from stm32.SchLib
Replace Part S? STEP in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with STEP from stm32.SchLib
Replace Part U? ESP8266 in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with ESP8266 from stm32.SchLib
Replace Part W? WAVE in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with WAVE from stm32.SchLib
Replace Part W? WAVE in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with WAVE from stm32.SchLib
Replace Part W? WAVE in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with WAVE from stm32.SchLib
Replace Part W? WAVE in C:\Users\hpz\Desktop\东方红\PCB_STM32\stm32.SchDoc with WAVE from stm32.SchLib
